season,week,home_team,away_team,model_spread,sigma,actual_margin,closing_spread_home,edge,model_side_correct,vegas_side_correct,edge_bucket,abs_edge,chosen_side,p_win,ev_per_1,breakeven_p,won,bet_side
2024,14,SF,CHI,8.473055872257907,7.943190336058034,25.0,3.0,5.473055872257907,True,True,"(5, 7]",5.473055872257907,HOME,0.7954178230404412,0.5185249348953876,0.5238095238095238,True,SF +3.0
2023,11,WAS,NYG,3.965085752174241,7.943190336058034,-12.0,7.5,-3.534914247825759,False,False,"(-5, -3]",3.534914247825759,HOME,0.7952550741713391,0.5182142325089201,0.5238095238095238,False,WAS +7.5
2018,3,JAX,TEN,1.4502046682194063,7.943190336058034,-3.0,10.0,-8.549795331780594,False,False,"(-15, -7]",8.549795331780594,HOME,0.7949509982317725,0.5176337238970202,0.5238095238095238,True,JAX +10.0
2019,1,NO,HOU,4.9395503589215455,7.943190336058034,2.0,6.5,-1.5604496410784543,True,True,"(-2, -1]",1.5604496410784543,HOME,0.7947331262385522,0.5172177864554178,0.5238095238095238,True,NO +6.5
2021,6,NYG,LA,-3.938740835226567,7.943190336058034,-27.0,-7.5,3.561259164773433,True,True,"(3, 5]",3.561259164773433,AWAY,0.7947165665149892,0.5171861724377067,0.5238095238095238,True,LA +7.5
2020,16,JAX,CHI,-1.898219922660369,7.943190336058034,-24.0,-9.5,7.601780077339631,True,True,"(7, 15]",7.601780077339631,AWAY,0.7938866516953037,0.5156017896001253,0.5238095238095238,True,CHI +9.5
2021,4,GB,PIT,4.897767418278564,7.943190336058034,10.0,6.5,-1.6022325817214362,True,True,"(-2, -1]",1.6022325817214362,HOME,0.7938773726682,0.5155840750938364,0.5238095238095238,True,GB +6.5
2019,13,ATL,NO,-4.392600337715969,7.943190336058034,-8.0,-7.0,2.607399662284031,True,True,"(2, 3]",2.607399662284031,AWAY,0.7937713992704648,0.5153817622436146,0.5238095238095238,True,NO +7.0
2022,16,CAR,DET,-8.891760666505162,7.943190336058034,14.0,-2.5,-6.391760666505162,False,False,"(-7, -5]",6.391760666505162,AWAY,0.7937541751203602,0.515348879775233,0.5238095238095238,False,DET +2.5
2024,3,LV,CAR,5.849239679484276,7.943190336058034,-14.0,5.5,0.3492396794842758,False,False,"(-1, 1]",0.3492396794842758,HOME,0.7928808289572247,0.5136815825547016,0.5238095238095238,False,LV +5.5
2021,6,BAL,LAC,8.34705457593896,7.943190336058034,28.0,3.0,5.3470545759389605,True,True,"(5, 7]",5.3470545759389605,HOME,0.7928358897034556,0.5135957894338699,0.5238095238095238,True,BAL +3.0
2021,9,KC,GB,4.3243575626209045,7.943190336058034,6.0,7.0,-2.6756424373790955,True,True,"(-3, -2]",2.6756424373790955,HOME,0.792368757638007,0.5127039918543769,0.5238095238095238,True,KC +7.0
2021,18,MIN,CHI,7.821458749194157,7.943190336058034,14.0,3.5,4.321458749194157,True,True,"(3, 5]",4.321458749194157,HOME,0.7923090517544504,0.5125900078948599,0.5238095238095238,True,MIN +3.5
2023,7,KC,LAC,5.791723758688216,7.943190336058034,14.0,5.5,0.2917237586882164,True,True,"(-1, 1]",0.2917237586882164,HOME,0.791696024763117,0.5114196836386778,0.5238095238095238,True,KC +5.5
2024,13,WAS,TEN,5.287479433827135,7.943190336058034,23.0,6.0,-0.7125205661728646,True,True,"(-1, 1]",0.7125205661728646,HOME,0.7916084352997974,0.5112524673905223,0.5238095238095238,True,WAS +6.0
2018,1,OAK,LA,-5.239508131740823,7.943190336058034,-20.0,-6.0,0.7604918682591766,True,True,"(-1, 1]",0.7604918682591766,AWAY,0.7906169497548451,0.5093596313501588,0.5238095238095238,True,LA +6.0
2022,13,DET,JAX,10.230093795072351,7.943190336058034,26.0,1.0,9.230093795072351,True,True,"(7, 15]",9.230093795072351,HOME,0.790422046032919,0.5089875424264817,0.5238095238095238,True,DET +1.0
2020,6,MIN,ATL,7.72436456699837,7.943190336058034,-17.0,3.5,4.22436456699837,False,False,"(3, 5]",4.22436456699837,HOME,0.790303382396387,0.5087610027567387,0.5238095238095238,False,MIN +3.5
2019,1,MIN,ATL,7.72436456699837,7.943190336058034,16.0,3.5,4.22436456699837,True,True,"(3, 5]",4.22436456699837,HOME,0.790303382396387,0.5087610027567387,0.5238095238095238,True,MIN +3.5
2020,11,MIN,DAL,4.200548368473897,7.943190336058034,-3.0,7.0,-2.799451631526103,False,False,"(-3, -2]",2.799451631526103,HOME,0.7898096785623456,0.5078184772553871,0.5238095238095238,True,MIN +7.0
2020,10,NYG,PHI,-6.685159755698542,7.943190336058034,10.0,-4.5,-2.1851597556985416,False,False,"(-3, -2]",2.1851597556985416,AWAY,0.789490313715802,0.5072087807301675,0.5238095238095238,False,PHI +4.5
2020,8,GB,MIN,5.647836123988548,7.943190336058034,-6.0,5.5,0.1478361239885481,False,False,"(-1, 1]",0.1478361239885481,HOME,0.7887145423305668,0.5057277626310821,0.5238095238095238,False,GB +5.5
2021,2,PIT,LV,5.647403236292084,7.943190336058034,-9.0,5.5,0.1474032362920843,False,False,"(-1, 1]",0.1474032362920843,HOME,0.788705534949186,0.5057105667211733,0.5238095238095238,False,PIT +5.5
2022,14,DEN,KC,-2.631346447485928,7.943190336058034,-6.0,-8.5,5.868653552514072,True,True,"(5, 7]",5.868653552514072,AWAY,0.7883712718030453,0.505072427987632,0.5238095238095238,True,KC +8.5
2023,5,PIT,BAL,-6.629207886944778,7.943190336058034,7.0,-4.5,-2.129207886944778,False,False,"(-3, -2]",2.129207886944778,AWAY,0.7883267288461973,0.5049873914336492,0.5238095238095238,False,BAL +4.5
2019,3,SF,PIT,5.128179443362634,7.943190336058034,4.0,6.0,-0.871820556637366,True,True,"(-1, 1]",0.871820556637366,HOME,0.7883053059799271,0.5049464932344062,0.5238095238095238,True,SF +6.0
2023,15,DET,DEN,5.620672679988403,7.943190336058034,25.0,5.5,0.1206726799884032,True,True,"(-1, 1]",0.1206726799884032,HOME,0.7881488988476875,0.5046478978001306,0.5238095238095238,True,DET +5.5
2018,8,CAR,BAL,-8.592674201548029,7.943190336058034,15.0,-2.5,-6.092674201548029,False,False,"(-7, -5]",6.092674201548029,AWAY,0.7875649406612251,0.503533068535066,0.5238095238095238,False,BAL +2.5
2022,13,CHI,GB,-7.091090165887009,7.943190336058034,-9.0,-4.0,-3.0910901658870094,True,True,"(-5, -3]",3.0910901658870094,AWAY,0.787531874689154,0.5034699425883848,0.5238095238095238,True,GB +4.0
2024,13,BUF,SF,4.586729052415085,7.943190336058034,25.0,6.5,-1.9132709475849152,True,True,"(-2, -1]",1.9132709475849152,HOME,0.7874408230386318,0.5032961167101153,0.5238095238095238,True,BUF +6.5
2024,2,DAL,NO,4.574676114064534,7.943190336058034,-25.0,6.5,-1.925323885935466,False,False,"(-2, -1]",1.925323885935466,HOME,0.7871890623961775,0.5028154827563388,0.5238095238095238,False,DAL +6.5
2019,11,LA,CHI,6.073440135711301,7.943190336058034,10.0,5.0,1.0734401357113006,True,True,"(1, 2]",1.0734401357113006,HOME,0.7871632355602978,0.5027661769787503,0.5238095238095238,True,LA +5.0
2022,12,DET,BUF,-1.0683437928202162,7.943190336058034,-3.0,-10.0,8.931656207179785,True,True,"(7, 15]",8.931656207179785,AWAY,0.7870567237485049,0.5025628362471457,0.5238095238095238,True,BUF +10.0
2020,3,NE,LV,4.057598479167193,7.943190336058034,16.0,7.0,-2.942401520832808,True,True,"(-3, -2]",2.942401520832808,HOME,0.7868320484909082,0.5021339107553701,0.5238095238095238,True,NE +7.0
2021,7,NE,NYJ,4.057221163832691,7.943190336058034,41.0,7.0,-2.9427788361673093,True,True,"(-3, -2]",2.9427788361673093,HOME,0.7868241566402387,0.5021188444950012,0.5238095238095238,True,NE +7.0
2021,6,CHI,GB,-5.551011520998928,7.943190336058034,-10.0,-5.5,-0.0510115209989283,True,True,"(-1, 1]",0.0510115209989283,AWAY,0.7866942525390814,0.5018708457564282,0.5238095238095238,True,GB +5.5
2019,5,NYG,MIN,-5.54605096671287,7.943190336058034,-18.0,-5.5,-0.0460509667128699,True,True,"(-1, 1]",0.0460509667128699,AWAY,0.7865904458890436,0.5016726694245377,0.5238095238095238,True,MIN +5.5
2021,15,JAX,HOU,5.041265934333444,7.943190336058034,-14.0,6.0,-0.9587340656665564,False,False,"(-1, 1]",0.9587340656665564,HOME,0.7864902843871706,0.5014814520118711,0.5238095238095238,False,JAX +6.0
2019,9,PHI,CHI,6.027830070676028,7.943190336058034,8.0,5.0,1.0278300706760284,True,True,"(1, 2]",1.0278300706760284,HOME,0.7862088950910708,0.5009442542647716,0.5238095238095238,True,PHI +5.0
2024,1,MIA,JAX,7.512547349134553,7.943190336058034,3.0,3.5,4.012547349134553,True,True,"(3, 5]",4.012547349134553,HOME,0.7858885643788825,0.5003327138142303,0.5238095238095238,True,MIA +3.5
2021,1,LV,BAL,-8.000924029137638,7.943190336058034,6.0,-3.0,-5.000924029137638,False,False,"(-7, -5]",5.000924029137638,AWAY,0.7856447490028982,0.4998672480964419,0.5238095238095238,False,BAL +3.0
2021,12,NYG,PHI,-6.983975499341872,7.943190336058034,6.0,-4.0,-2.983975499341872,False,False,"(-3, -2]",2.983975499341872,AWAY,0.7852889406757991,0.4991879776537983,0.5238095238095238,False,PHI +4.0
2023,8,DAL,LA,4.473666837083703,7.943190336058034,23.0,6.5,-2.0263331629162966,True,True,"(-3, -2]",2.0263331629162966,HOME,0.7850723584057142,0.4987745024109089,0.5238095238095238,True,DAL +6.5
2019,6,LAC,PIT,4.967034457880999,7.943190336058034,-7.0,6.0,-1.0329655421190012,False,False,"(-2, -1]",1.0329655421190012,HOME,0.7849329468162018,0.498508353012749,0.5238095238095238,False,LAC +6.0
2019,2,WAS,DAL,-4.963759749853391,7.943190336058034,-10.0,-6.0,1.0362402501466086,True,True,"(1, 2]",1.0362402501466086,AWAY,0.7848640936006621,0.49837690596490036,0.5238095238095238,True,DAL +6.0
2024,6,GB,ARI,5.4599817606436885,7.943190336058034,21.0,5.5,-0.0400182393563115,True,True,"(-1, 1]",0.0400182393563115,HOME,0.7847846426219316,0.49822522682368753,0.5238095238095238,True,GB +5.5
2020,2,TEN,JAX,3.947623106669708,7.943190336058034,3.0,7.0,-3.052376893330292,True,True,"(-5, -3]",3.052376893330292,HOME,0.784524621624957,0.4977288231021906,0.5238095238095238,True,TEN +7.0
