season,week,away_team,home_team,closing_spread_home,model_spread,raw_edge,norm_edge,bet_side,won
2019,8,TB,TEN,2.0,-1.537845207850646,-3.537845207850646,-0.505406458264378,TB -2.0,False
2020,5,LAC,NO,7.0,3.4517794929891035,-3.5482205070108965,-0.5068886438586995,LAC -7.0,False
2024,15,BUF,DET,2.5,-1.0683437928202162,-3.568343792820216,-0.5097633989743166,BUF -2.5,True
2021,2,BUF,MIA,-3.5,-7.070324016187485,-3.5703240161874854,-0.5100462880267836,BUF +3.5,True
2019,9,HOU,JAX,1.0,-2.5744970562192857,-3.5744970562192857,-0.5106424366027551,HOU -1.0,True
2018,3,GB,WAS,-2.5,-6.089656245420235,-3.589656245420235,-0.5128080350600336,GB +2.5,False
2023,2,NO,CAR,-3.0,-6.625111234329571,-3.6251112343295713,-0.517873033475653,NO +3.0,True
2018,11,MIN,CHI,2.5,-1.1315749795488816,-3.6315749795488816,-0.5187964256498402,MIN -2.5,False
2023,13,DEN,HOU,3.5,-0.1392760145629125,-3.6392760145629124,-0.5198965735089874,DEN -3.5,False
2023,4,TB,NO,4.0,0.3536266050667048,-3.646373394933295,-0.5209104849904708,TB -4.0,True
2024,15,MIA,HOU,2.5,-1.1638290975427772,-3.663829097542777,-0.5234041567918253,MIA -2.5,False
2019,12,GB,SF,3.0,-0.6728646286078842,-3.672864628607884,-0.5246949469439834,GB -3.0,False
2022,1,BUF,LA,-1.0,-4.673160193225704,-3.673160193225704,-0.5247371704608149,BUF +1.0,True
2024,1,BAL,KC,3.0,-0.6767576661800094,-3.676757666180009,-0.5252510951685727,BAL -3.0,False
2018,16,NYG,IND,10.0,4.741229998581204,-5.258770001418796,-0.5258770001418795,NYG -10.0,False
2018,5,GB,DET,1.0,-2.685212538435134,-3.685212538435134,-0.526458934062162,GB -1.0,False
2023,10,SF,JAX,-3.0,-6.711708535477486,-3.711708535477486,-0.5302440764967837,SF +3.0,True
2024,4,NO,ATL,2.5,-1.2138882515731229,-3.713888251573123,-0.5305554645104461,NO -2.5,False
2023,17,NYJ,CLE,6.5,2.7797541718390004,-3.7202458281609996,-0.5314636897372856,NYJ -6.5,False
2022,8,DEN,JAX,1.0,-2.7308479640132144,-3.7308479640132144,-0.5329782805733163,DEN -1.0,True
2020,11,CIN,WAS,2.0,-1.7376926543160427,-3.7376926543160427,-0.5339560934737204,CIN -2.0,False
2023,2,KC,JAX,-3.5,-7.240767562569879,-3.7407675625698786,-0.5343953660814112,KC +3.5,True
2018,5,BAL,CLE,-3.0,-6.743351979314441,-3.7433519793144407,-0.5347645684734915,BAL +3.0,False
2024,1,MIN,NYG,-1.0,-4.750142373390483,-3.7501423733904833,-0.5357346247700691,MIN +1.0,True
2024,3,PHI,NO,2.5,-1.2676707900253992,-3.767670790025399,-0.5382386842893427,PHI -2.5,True
2018,4,CIN,ATL,3.5,-0.2722684532847522,-3.7722684532847524,-0.5388954933263932,CIN -3.5,True
2022,9,IND,NE,5.0,1.2232134896012867,-3.776786510398713,-0.539540930056959,IND -5.0,False
2024,7,SEA,ATL,3.0,-0.8039180597964871,-3.8039180597964872,-0.5434168656852124,SEA -3.0,True
2021,11,WAS,CAR,3.5,-0.311671845569102,-3.811671845569102,-0.5445245493670146,WAS -3.5,True
2023,9,MIN,ATL,3.5,-0.3143062014128454,-3.8143062014128453,-0.5449008859161207,MIN -3.5,True
2023,4,MIN,CAR,-4.5,-8.333430642796706,-3.8334306427967064,-0.547632948970958,MIN +4.5,True
2019,14,DEN,HOU,8.0,3.613352058143024,-4.386647941856976,-0.548330992732122,DEN -8.0,True
2019,2,SEA,PIT,4.0,0.1405829214783088,-3.859417078521691,-0.5513452969316701,SEA -4.0,True
