season,week,away_team,home_team,closing_spread_home,model_spread,edge,edge_bin,confidence,bet_side,won
2019,10,CAR,GB,5.0,13.860749879541814,8.860749879541814,huge,STRONG,GB +5.0,True
2021,18,TEN,HOU,-10.5,-1.675196234165779,8.824803765834222,huge,STRONG,HOU -10.5,False
2021,4,BAL,DEN,1.0,-7.812458046802217,-8.812458046802217,huge,STRONG,BAL -1.0,True
2021,13,NE,BUF,3.0,11.808985337909863,8.808985337909863,huge,STRONG,BUF +3.0,False
2022,15,PIT,CAR,2.5,-6.270250982173024,-8.770250982173025,huge,STRONG,PIT -2.5,True
2019,8,WAS,MIN,16.5,7.733122497468201,-8.766877502531798,huge,STRONG,WAS -16.5,False
2020,2,CIN,CLE,6.0,-2.7329212123384217,-8.732921212338422,huge,STRONG,CIN -6.0,False
2024,11,CLE,NO,-1.0,7.727595275923281,8.727595275923282,huge,STRONG,NO -1.0,True
2018,3,NE,DET,-7.0,1.6839854951317934,8.683985495131793,huge,STRONG,DET -7.0,True
2019,6,WAS,MIA,-6.0,2.67444595681322,8.67444595681322,huge,STRONG,MIA -6.0,False
2021,18,CIN,CLE,6.5,-2.1584158937257985,-8.658415893725799,huge,STRONG,CIN -6.5,False
2018,1,DAL,CAR,2.5,-6.152727607285056,-8.652727607285055,huge,STRONG,DAL -2.5,False
2020,16,TEN,GB,3.0,11.610773897097172,8.610773897097172,huge,STRONG,GB +3.0,True
2022,11,TEN,GB,3.0,11.610773897097172,8.610773897097172,huge,STRONG,GB +3.0,False
2024,15,ATL,LV,-6.5,2.107893384547541,8.607893384547541,huge,STRONG,LV -6.5,False
2019,2,BUF,NYG,-1.0,-9.607412083878376,-8.607412083878376,huge,STRONG,BUF +1.0,True
2019,13,BUF,DAL,6.5,-2.0780665072127387,-8.578066507212739,huge,STRONG,BUF -6.5,True
2018,3,TEN,JAX,10.0,1.4502046682194063,-8.549795331780594,huge,STRONG,TEN -10.0,True
2019,12,MIA,CLE,11.0,2.4954253997853493,-8.504574600214651,huge,STRONG,MIA -11.0,False
2021,7,ATL,MIA,-1.5,7.004324389979756,8.504324389979756,huge,STRONG,MIA -1.5,False
2019,9,CLE,DEN,-4.0,4.473614249753448,8.473614249753448,huge,STRONG,DEN -4.0,True
2018,12,CHI,DET,-3.0,5.471411985419165,8.471411985419165,huge,STRONG,DET -3.0,False
2024,10,ATL,NO,-3.5,4.971034553714597,8.471034553714597,huge,STRONG,NO -3.5,True
2018,11,DAL,ATL,3.5,-4.95500181938356,-8.455001819383561,huge,STRONG,DAL -3.5,True
2022,1,PHI,DET,-6.0,2.4381548873609207,8.43815488736092,huge,STRONG,DET -6.0,False
2019,1,GB,CHI,3.5,-4.900837952466692,-8.400837952466691,huge,STRONG,GB -3.5,True
2019,8,MIA,PIT,14.0,5.657839282328182,-8.342160717671817,huge,STRONG,MIA -14.0,False
2023,1,BUF,NYJ,-2.5,-10.825314634737245,-8.325314634737245,huge,STRONG,BUF +2.5,False
2021,4,DET,CHI,3.0,-5.319333461888386,-8.319333461888386,huge,STRONG,DET -3.0,False
2022,10,DET,CHI,3.0,-5.319333461888386,-8.319333461888386,huge,STRONG,DET -3.0,True
2018,12,NE,NYJ,-13.0,-4.686128775071091,8.31387122492891,huge,STRONG,NYJ -13.0,False
2020,16,SF,ARI,6.0,-2.286586705028955,-8.286586705028956,huge,STRONG,SF -6.0,True
2021,5,SF,ARI,6.0,-2.286586705028955,-8.286586705028956,huge,STRONG,SF -6.0,False
2020,14,TEN,JAX,-7.5,0.7528455818976006,8.252845581897601,huge,STRONG,JAX -7.5,False
2024,6,HOU,NE,-6.5,1.751718121779189,8.25171812177919,huge,STRONG,NE -6.5,False
2018,9,TB,CAR,6.0,-2.2288772247780484,-8.22887722477805,huge,STRONG,TB -6.0,False
2023,3,HOU,JAX,7.5,-0.7129987983795649,-8.212998798379566,huge,STRONG,HOU -7.5,True
2018,8,GB,LA,7.5,-0.7059709678261303,-8.205970967826131,huge,STRONG,GB -7.5,False
2021,10,LA,SF,-3.5,4.70370847579623,8.20370847579623,huge,STRONG,SF -3.5,True
2020,6,BAL,PHI,-10.5,-2.3029752157525216,8.197024784247478,huge,STRONG,PHI -10.5,False
2019,7,LAC,TEN,3.0,-5.171609093118326,-8.171609093118326,huge,STRONG,LAC -3.0,False
2022,10,DAL,GB,-3.5,4.660052569461883,8.160052569461882,huge,STRONG,GB -3.5,True
2023,18,DAL,WAS,-13.0,-4.855795874648136,8.144204125351864,huge,STRONG,WAS -13.0,False
2022,3,PIT,CLE,4.5,-3.637739104767021,-8.137739104767022,huge,STRONG,PIT -4.5,False
2019,11,NE,PHI,-4.5,3.6176170007055255,8.117617000705525,huge,STRONG,PHI -4.5,False
2022,8,MIA,DET,-3.5,4.596119597008539,8.096119597008538,huge,STRONG,DET -3.5,False
2024,12,DAL,WAS,10.5,2.41728985692217,-8.08271014307783,huge,STRONG,DAL -10.5,True
2021,4,CLE,MIN,-1.0,7.072768132666277,8.072768132666276,huge,STRONG,MIN -1.0,False
2019,13,NYJ,CIN,-2.5,5.568087912496434,8.068087912496434,huge,STRONG,CIN -2.5,True
2018,14,NE,MIA,-8.5,-0.4461081531406706,8.05389184685933,huge,STRONG,MIA -8.5,True
2021,4,KC,PHI,-7.5,0.5511713451415546,8.051171345141555,huge,STRONG,PHI -7.5,False
2018,10,ATL,CLE,-5.5,2.53016958540283,8.030169585402831,huge,STRONG,CLE -5.5,True
2021,8,PIT,CLE,5.5,-2.5256118913467045,-8.025611891346704,huge,STRONG,PIT -5.5,True
2021,11,NE,ATL,-7.0,1.018770709172094,8.018770709172093,huge,STRONG,ATL -7.0,False
2019,14,BAL,BUF,-6.5,1.5023392080719455,8.002339208071945,huge,STRONG,BUF -6.5,False
2024,8,ATL,TB,-1.5,6.4959810997186285,7.9959810997186285,huge,STRONG,TB -1.5,False
2022,12,HOU,MIA,14.0,6.026086237122674,-7.973913762877326,huge,STRONG,HOU -14.0,False
2020,8,NYJ,KC,20.0,12.028364062626762,-7.971635937373238,huge,STRONG,NYJ -20.0,False
2021,6,CIN,DET,-3.5,4.458780038176305,7.958780038176305,huge,STRONG,DET -3.5,False
2018,4,SF,LAC,10.0,2.06252444861642,-7.93747555138358,huge,STRONG,SF -10.0,False
2021,2,KC,BAL,-3.5,4.433903968321483,7.933903968321483,huge,STRONG,BAL -3.5,True
2022,17,NYJ,SEA,-1.0,6.92492053761791,7.92492053761791,huge,STRONG,SEA -1.0,True
2018,9,OAK,SF,-1.5,6.418892546499558,7.918892546499558,huge,STRONG,SF -1.5,True
2020,17,BAL,CIN,-13.5,-5.5815097691234055,7.9184902308765945,huge,STRONG,CIN -13.5,False
2023,13,CAR,TB,4.0,11.907204082475076,7.907204082475076,huge,STRONG,TB +4.0,True
2018,5,LA,SEA,-7.5,0.4000634275895148,7.900063427589515,huge,STRONG,SEA -7.5,False
2019,9,SF,ARI,-10.5,-2.601118724733388,7.898881275266612,huge,STRONG,ARI -10.5,False
2023,17,SF,WAS,-14.0,-6.104279631587262,7.895720368412738,huge,STRONG,WAS -14.0,False
2018,12,MIA,IND,9.0,1.124284341302756,-7.875715658697244,huge,STRONG,MIA -9.0,False
2018,12,SEA,CAR,3.0,-4.871153183298113,-7.871153183298113,huge,STRONG,SEA -3.0,True
2018,10,DET,CHI,7.5,-0.3370522629608217,-7.837052262960822,huge,STRONG,DET -7.5,False
2024,5,BUF,HOU,1.0,-6.828292487371533,-7.828292487371533,huge,STRONG,BUF -1.0,False
2020,12,MIA,NYJ,-7.5,0.305155808383048,7.805155808383048,huge,STRONG,NYJ -7.5,False
2019,6,NYG,NE,16.5,8.703262208205228,-7.796737791794772,huge,STRONG,NYG -16.5,False
2018,4,BUF,GB,8.5,0.7034129111784087,-7.796587088821592,huge,STRONG,BUF -8.5,False
2020,12,CLE,JAX,-7.5,0.285826928315552,7.785826928315552,huge,STRONG,JAX -7.5,False
2022,5,DET,NE,3.0,-4.76735836181878,-7.76735836181878,huge,STRONG,DET -3.0,False
2018,15,ARI,ATL,10.0,2.236123513493479,-7.763876486506521,huge,STRONG,ARI -10.0,False
